code,name,type,state
2884,玉山金,,上市
2885,元大金,,上市
2886,兆豐金,,上市
2887,台新金,,上市
2888,新光金,,上市
2889,國票金,,上市
2890,永豐金,,上市
2891,中信金,,上市
2892,第一金,,上市
2897,王道銀行,,上市
2901,欣欣,,上市
2903,遠百,,上市
2904,匯僑,,上市
2905,三商,,上市
2906,高林,,上市
2908,特力,,上市
2910,統領,,上市
2911,麗嬰房,,上市
2912,統一超,,上市
2913,農林,,上市
2915,潤泰全,,上市
2916,滿心,,上市
2923,鼎固-KY,,上市
2924,東凌-KY,IC,上市
2926,誠品生活,UC,上市
2928,紅馬-KY,,上市
2929,淘帝-KY,,上市
2936,客思達-KY,,上市
2937,集雅社,,上市
2938,床的世界,,上市
2939,凱羿-KY,,上市
2942,京站,,上市
2945,三商家購,,上市
3002,歐格,,上市
3003,健和興,,上市
3004,豐達科,,上市
3005,神基,,上市
3006,晶豪科,,上市
3008,大立光,,上市
3010,華立,,上市
3011,今皓,,上市
3013,晟銘電,,上市
3014,聯陽,,上市
3015,全漢,,上市
3016,嘉晶,,上市
3017,奇鋐,,上市
3018,同開,,上市
3019,亞光,,上市
3021,鴻名,,上市
3022,威強電,,上市
3023,信邦,,上櫃
3024,憶聲,,上櫃
3025,星通,,上櫃
3026,禾伸堂,,上櫃
3027,盛達,,上櫃
3028,增你強,,上櫃
3029,零壹,,上櫃
3030,德律,,上櫃
3031,佰鴻,,上櫃
3032,偉訓,,上櫃
3033,威健,,上櫃
3034,聯詠,,上櫃
3035,智原,,上市
3036,文曄,,上櫃
3037,欣興,,上櫃
3038,全台,,上市
3040,遠見,,上櫃
3041,揚智,,上櫃
3042,晶技,,上櫃
3043,科風,,上櫃
3044,健鼎,,上櫃
3045,台灣大,,上市
3046,建碁,,上櫃
3047,訊舟,,上市
3048,益登,,上櫃
3049,和鑫,,上櫃
3050,鈺德,,上櫃
3051,力特,,上市
3052,夆典,,上櫃
3054,立萬利,,上櫃
3055,蔚華科,,上櫃
3056,總太,,上市
3057,喬鼎,,上市
3058,立德,,上櫃
3059,華晶科,,上櫃
3060,銘異,,上櫃
3062,建漢,,上櫃
3064,泰偉,,上市
3066,李洲,,上櫃
3067,全域,,上櫃
3071,協禧,,上櫃
3073,凱柏實業,,上櫃
3078,僑威,,上櫃
3081,聯亞,,上市
3083,網龍,,上櫃
3085,新零售,,上櫃
3086,華義,,上櫃
3088,艾訊,,上櫃
3089,元炬,,上櫃
3090,日電貿,,上櫃
3092,鴻碩,,上櫃
3093,港建,,上櫃
3094,聯傑,,上櫃
3095,及成,,上櫃
3097,拍檔,,上市
3105,穩懋,,上櫃
3114,好德,,上市
3115,寶島極,,上櫃
3117,年程,,上櫃
3118,進階,,上櫃
3122,笙泉,,上櫃
3128,昇銳,,上市
3130,一零四,,上櫃
3131,弘塑,,上櫃
3138,耀登,,上櫃
3141,晶宏,,上櫃
3144,新揚科,,上市
3147,大綜,,上櫃
3149,正達,,上櫃
3150,鈺寶,,上櫃
3152,璟德,,上櫃
3158,嘉實,,上櫃
3162,精確,,上櫃
3163,波若威,,上櫃
3164,景岳,,上櫃
3167,大量,,上市
3168,眾福科,,上櫃
3169,亞信,,上櫃
3171,新洲,,上市
3176,基亞,,上櫃
3178,公準,,上櫃
3184,微邦,,上櫃
3188,鑫龍騰,,上市
3189,景碩,,上櫃
3191,和進,,上市
3202,樺晟,,上櫃
3205,佰研,,上市
3206,志豐,,上市
3207,耀勝,,上櫃
